manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mitsubishi,i-MiEV,i-MiEV,49,28.10.2017,146461,73.7,4.6,Electricity,Summer tires,1,1,1,Normal,12.17,0,0,,-2.83,"Noch 2 Balken, 10km Reichweite, Batterie 15-18°C, 16,4°C, 20,5%, Ökostrom, 20m2s geladen, Ladeende 10,6°C RRW 47km, Batterie 18-22°C, 20,0°C, 62,5%, 10B, Autobahn 80km/h"
Mitsubishi,i-MiEV,i-MiEV,49,27.10.2017,146387,16.1,2.46,Electricity,Summer tires,0,0,1,Normal,12.5,0,0,,-2.5,"Noch 14 Balken, 83km Reichweite, Mainova Ökostrom Novanatur, 1h40m geladen, Ladeende 9,0°C, RRW 104km, Batterie 16-22°C, 18,3°C, 99,0%"
Mitsubishi,i-MiEV,i-MiEV,49,27.10.2017,146371,35.6,4.0,Electricity,Summer tires,1,0,1,Normal,12.5,0,0,,-2.5,"Noch 11 Balken, 65km Reichweite, Entega Ökostrom, 1h40m geladen, Ladeende 13,2°C, RRW 98km, 16B, nicht voll"
Mitsubishi,i-MiEV,i-MiEV,49,27.10.2017,146335,49.1,6.26,Electricity,Summer tires,1,0,1,Normal,12.75,0,0,,-2.25,"Noch 8 Balken, 51km Reichweite, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende 12,3°C, RRW 109km, Batterie 17-21°C, 18,9°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,25.10.2017,146286,52.7,7.05,Electricity,Summer tires,1,0,1,Normal,13.38,0,0,,-1.6199999999999992,"Noch 7 Balken, 43km Reichweite, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 10,6°C, RRW 106km, Batterie 18-22°C, 20,0°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,25.10.2017,146233,48.5,6.66,Electricity,Summer tires,1,0,1,Normal,13.73,0,0,,-1.2699999999999996,"Noch 7 Balken, 46km Reichweite, Mainova Ökostrom Novanatur, 4,5h geladen, Ladeende 13,5°C, RRW 108km, Batterie 17-20°C, 18,3°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,24.10.2017,146185,60.5,7.44,Electricity,Summer tires,1,0,1,Normal,12.3,0,0,,-2.6999999999999993,"Noch 5 Balken, 34km Reichweite, Mainova Ökostrom Novanatur, 5h geladen, Ladeende 9,8°C, RRW 103km, Batterie 16-19°C, 17,3°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,22.10.2017,146124,40.1,8.62,Electricity,Summer tires,0,1,0,Normal,11.77,0,0,,-3.2300000000000004,"Noch 3 Balken, 19km Reichweite, Batterie 22-31°C, 27,5°C, 27,0%, Mainova Ökostrom Novanatur, 5h geladen, Ladeende 8,0°C, RRW 102km, Batterie 17-25°C, 21,1°C, 98,5%, Autobahn 80km/h"
Mitsubishi,i-MiEV,i-MiEV,49,22.10.2017,146084,60.4,6.42,Electricity,Summer tires,0,1,1,Normal,11.77,0,0,,-3.2300000000000004,"Noch 0 Balken, 0km Reichweite, Batterie 21-27°C, 24,8°C, 9,5%, Ökostrom, 25m45s geladen, Ladeende 11,8°C RRW 66km, Batterie 20-31°C, 25,9°C, 67,5%, 11B, Autobahn 80km/h, Schildkröte seit 1,2km"
Mitsubishi,i-MiEV,i-MiEV,49,22.10.2017,146023,64.8,4.41,Electricity,Summer tires,0,1,1,Normal,11.77,0,0,,-3.2300000000000004,"Noch 3 Balken, 20km Reichweite, Batterie 17-21°C, 18,5°C, 28,0%, Ökostrom, 22m31s geladen, Ladeende 14,6°C RRW 63km, Batterie 20-23°C, 21,5°C, 68,5%, 11B, Ladeabbruch vom Fahrzeug, Autobahn 80km/h"
