trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
72.0,10.04,Summer tires,0,1,0,Normal,12.6,0,0,71.0,-4.2
38.0,8.7,Summer tires,0,1,0,Normal,12.9,0,0,52.0,-3.9
76.0,6.7,Summer tires,0,1,0,Normal,11.6,0,0,66.0,-5.2
71.0,8.0,Summer tires,0,1,0,Normal,12.0,0,0,70.0,-4.8
92.0,7.45,Summer tires,0,1,0,Fast,13.5,0,0,56.0,-3.3
17.0,15.03,Summer tires,0,1,0,Fast,18.1,0,0,67.0,1.3
68.0,2.22,Summer tires,1,1,0,Normal,16.0,0,0,94.0,-0.8
112.0,10.6,Summer tires,1,1,0,Normal,12.4,0,0,60.0,-4.4
78.0,13.73,Summer tires,1,1,0,Fast,17.6,0,0,76.0,0.8
18.0,10.18,Summer tires,1,0,0,Moderate,12.5,0,0,35.0,-4.3
104.0,10.42,Summer tires,0,1,0,Moderate,13.1,0,0,70.0,-3.7
71.0,13.92,Summer tires,0,1,0,Moderate,13.3,0,0,69.0,-3.5
102.0,11.35,Summer tires,0,1,0,Moderate,13.1,0,0,67.0,-3.7
78.0,11.73,Summer tires,0,1,0,Normal,12.2,0,0,76.0,-4.6
102.0,11.72,Summer tires,0,1,0,Moderate,12.5,0,0,69.0,-4.3
71.0,13.77,Summer tires,0,1,0,Fast,14.6,0,0,81.0,-2.2
85.0,9.86,Summer tires,0,1,0,Moderate,11.7,0,0,69.0,-5.1
17.0,0.93,Summer tires,0,1,0,Moderate,14.4,0,0,56.0,-2.4
71.0,10.22,Summer tires,0,1,0,Moderate,12.7,0,0,79.0,-4.1
24.0,9.67,Summer tires,0,1,0,Moderate,12.8,0,0,44.0,-4.0
65.0,5.39,Summer tires,0,1,0,Moderate,13.8,0,0,65.0,-3.0
35.0,1.12,Summer tires,0,1,0,Normal,12.1,0,0,51.0,-4.7
68.0,10.79,Summer tires,0,1,0,Normal,12.4,0,0,51.0,-4.4
107.0,10.88,Summer tires,0,1,0,Normal,12.1,0,0,73.0,-4.7
6.0,6.14,Summer tires,0,1,0,Normal,10.7,0,0,42.0,-6.1
98.0,7.63,Summer tires,0,1,0,Normal,12.7,0,0,53.0,-4.1
110.0,13.16,Summer tires,0,1,1,Normal,13.9,0,0,85.0,-2.9
85.0,12.53,Summer tires,1,1,0,Normal,13.9,0,0,52.0,-2.9
115.0,16.2,Summer tires,0,1,1,Moderate,12.3,0,0,44.0,-4.5
22.0,2.69,Summer tires,0,0,1,Moderate,11.1,0,0,41.0,-5.7
25.0,13.97,Summer tires,0,0,1,Normal,15.2,0,0,41.0,-1.6
97.0,4.08,Summer tires,0,1,0,Moderate,13.8,0,0,74.0,-3.0
114.0,13.5,Summer tires,0,1,1,Moderate,12.6,0,0,73.0,-4.2
17.0,6.14,Summer tires,0,1,0,Moderate,14.4,0,0,55.0,-2.4
71.0,10.31,Summer tires,0,1,0,Moderate,11.5,0,0,74.0,-5.3
101.0,11.72,Summer tires,0,1,0,Moderate,12.0,0,0,74.0,-4.8
75.0,12.15,Summer tires,0,1,0,Moderate,13.5,0,0,65.0,-3.3
25.0,9.86,Summer tires,0,1,0,Moderate,12.9,0,0,65.0,-3.9
77.0,4.09,Summer tires,0,1,0,Moderate,13.4,0,0,74.0,-3.4
72.0,12.12,Summer tires,0,1,0,Moderate,11.7,0,0,67.0,-5.1
118.0,10.23,Summer tires,0,1,1,Moderate,11.7,0,0,71.0,-5.1
66.0,10.04,Summer tires,0,0,1,Moderate,13.1,0,0,45.0,-3.7
80.0,12.96,Summer tires,0,1,0,Moderate,11.8,0,0,55.0,-5.0
106.0,10.6,Summer tires,0,1,0,Moderate,12.3,0,0,66.0,-4.5
86.0,11.44,Summer tires,0,1,0,Moderate,10.7,0,0,54.0,-6.1
3.0,5.21,Summer tires,0,1,0,Moderate,12.3,0,0,24.0,-4.5
100.0,7.06,Summer tires,0,1,0,Moderate,12.1,0,0,81.0,-4.7
71.0,9.99,Summer tires,0,1,0,Moderate,10.6,0,0,73.0,-6.2
100.0,11.16,Summer tires,0,1,0,Moderate,12.1,0,0,76.0,-4.7
72.0,12.58,Summer tires,0,1,0,Moderate,10.9,0,0,76.0,-5.9
91.0,8.93,Summer tires,0,1,0,Normal,12.5,0,0,69.0,-4.3
20.0,8.93,Summer tires,0,1,0,Moderate,16.1,0,0,62.0,-0.7
66.0,7.81,Summer tires,0,1,1,Moderate,12.0,0,0,54.0,-4.8
47.0,0.74,Summer tires,1,1,1,Moderate,12.2,0,0,64.0,-4.6
18.0,7.22,Summer tires,0,1,0,Moderate,12.2,0,0,57.0,-4.6
26.0,0.93,Summer tires,0,1,0,Normal,14.6,0,0,39.0,-2.2
75.0,9.73,Summer tires,0,1,0,Moderate,11.4,0,0,74.0,-5.4
114.0,10.97,Summer tires,0,1,0,Moderate,11.8,0,0,58.0,-5.0
74.0,11.22,Summer tires,0,1,0,Moderate,11.5,0,0,74.0,-5.3
101.0,11.9,Summer tires,0,1,0,Moderate,11.7,0,0,73.0,-5.1
72.0,10.41,Summer tires,0,1,0,Normal,11.1,0,0,75.0,-5.7
100.0,11.16,Summer tires,0,1,0,Normal,12.0,0,0,73.0,-4.8
72.0,9.69,Summer tires,0,1,0,Normal,10.3,0,0,75.0,-6.5
71.0,9.49,Summer tires,0,1,0,Normal,12.5,0,0,79.0,-4.3
106.0,10.19,Summer tires,0,1,0,Moderate,11.3,0,0,71.0,-5.5
88.0,11.35,Summer tires,0,1,0,Moderate,11.8,0,0,68.0,-5.0
17.0,0.93,Summer tires,0,1,0,Moderate,10.9,1,0,30.0,-5.9
79.0,13.02,Summer tires,0,1,0,Normal,14.2,1,0,44.0,-2.6
71.0,11.15,Summer tires,0,1,0,Moderate,12.8,1,0,67.0,-4.0
86.0,11.53,Summer tires,0,1,0,Moderate,11.7,0,0,74.0,-5.1
16.0,0.56,Summer tires,0,1,0,Moderate,13.0,0,0,57.0,-3.8
74.0,4.93,Summer tires,0,1,0,Moderate,11.5,0,0,69.0,-5.3
88.0,10.47,Summer tires,0,1,0,Moderate,11.9,0,0,66.0,-4.9
2.0,0.23,Summer tires,0,1,0,Normal,11.5,0,0,20.0,-5.3
89.0,14.56,Summer tires,0,1,0,Normal,12.3,0,0,62.0,-4.5
71.0,10.97,Summer tires,0,1,0,Normal,13.8,0,0,83.0,-3.0
86.0,7.0,Summer tires,0,1,1,Normal,13.7,0,0,71.0,-3.1
121.0,15.85,Summer tires,0,1,0,Normal,13.1,0,0,61.0,-3.7
5.0,4.9,Summer tires,1,0,0,Fast,16.1,0,0,28.0,-0.7
96.0,7.07,Summer tires,0,1,0,Moderate,12.1,0,0,82.0,-4.7
71.0,11.1,Summer tires,0,1,0,Moderate,11.8,0,0,73.0,-5.0
103.0,12.83,Summer tires,0,1,0,Moderate,12.0,0,0,74.0,-4.8
71.0,7.16,Summer tires,0,1,0,Moderate,11.3,0,0,72.0,-5.5
86.0,11.34,Summer tires,0,1,0,Moderate,11.0,0,0,74.0,-5.8
16.0,0.37,Summer tires,0,1,0,Moderate,12.1,0,0,57.0,-4.7
74.0,9.01,Summer tires,0,1,0,Moderate,11.4,1,0,69.0,-5.4
117.0,11.16,Summer tires,0,1,1,Moderate,11.8,0,0,63.0,-5.0
102.0,14.82,Summer tires,1,0,1,Moderate,12.3,0,0,50.0,-4.5
37.0,1.9,Summer tires,0,0,1,Moderate,11.3,0,0,49.0,-5.5
115.0,12.08,Summer tires,0,1,0,Moderate,12.9,0,0,58.0,-3.9
85.0,11.9,Summer tires,0,1,0,Moderate,11.8,0,0,78.0,-5.0
86.0,11.53,Summer tires,0,1,0,Moderate,12.2,0,0,65.0,-4.6
85.0,11.16,Summer tires,0,1,0,Moderate,11.5,0,0,75.0,-5.3
86.0,13.02,Summer tires,0,1,0,Moderate,13.1,0,0,64.0,-3.7
86.0,11.53,Summer tires,0,1,0,Moderate,13.0,0,0,67.0,-3.8
97.0,10.42,Summer tires,1,1,0,Normal,14.5,0,0,54.0,-2.3
86.0,12.4,Summer tires,0,1,0,Moderate,12.9,0,0,72.0,-3.9
86.0,10.04,Summer tires,0,1,0,Moderate,13.2,0,0,76.0,-3.6
87.0,11.44,Summer tires,0,1,0,Moderate,11.8,0,0,66.0,-5.0
40.0,15.07,Summer tires,0,1,0,Moderate,12.3,0,0,52.0,-4.5
92.0,0.74,Summer tires,0,1,0,Moderate,11.9,0,0,64.0,-4.9
87.0,14.69,Summer tires,0,1,0,Moderate,11.9,0,0,76.0,-4.9
89.0,4.84,Summer tires,0,1,0,Moderate,11.7,0,0,62.0,-5.1
86.0,11.67,Summer tires,0,1,0,Moderate,12.0,0,0,76.0,-4.8
86.0,11.35,Summer tires,0,1,0,Fast,13.7,0,0,74.0,-3.1
86.0,14.51,Summer tires,0,1,0,Moderate,11.2,0,0,73.0,-5.6
115.0,8.0,Summer tires,0,1,0,Moderate,12.0,0,0,69.0,-4.8
86.0,12.84,Summer tires,0,1,0,Moderate,11.2,0,0,73.0,-5.6
87.0,7.26,Summer tires,0,1,0,Moderate,12.3,0,0,75.0,-4.5
87.0,14.4,Summer tires,0,1,0,Moderate,12.8,0,0,68.0,-4.0
86.0,10.67,Summer tires,0,0,1,Moderate,12.2,0,0,49.0,-4.6
78.0,9.35,Summer tires,0,0,1,Moderate,12.8,0,0,54.0,-4.0
113.0,12.49,Summer tires,0,1,1,Moderate,12.3,0,0,67.0,-4.5
106.0,13.7,Summer tires,0,1,1,Moderate,12.4,0,0,79.0,-4.4
118.0,13.85,Summer tires,0,1,1,Moderate,13.3,0,0,71.0,-3.5
79.0,9.24,Summer tires,0,0,1,Moderate,11.7,1,0,51.0,-5.1
29.0,3.42,Summer tires,0,0,1,Moderate,11.8,0,0,42.0,-5.0
76.0,13.43,Summer tires,0,0,1,Moderate,12.4,0,0,64.0,-4.4
1.0,5.4,Summer tires,1,0,0,Moderate,8.0,0,0,17.0,-8.8
110.0,3.61,Summer tires,0,0,1,Moderate,11.8,0,0,50.0,-5.0
103.0,12.46,Summer tires,0,0,1,Moderate,12.1,0,0,55.0,-4.7
31.0,3.88,Summer tires,0,0,1,Moderate,12.5,0,0,42.0,-4.3
97.0,13.48,Summer tires,0,0,1,Moderate,13.9,0,0,63.0,-2.9
40.0,16.5,Summer tires,0,1,0,Normal,16.3,0,0,85.0,-0.5
77.0,3.87,Summer tires,0,1,0,Moderate,14.2,0,0,65.0,-2.6
72.0,13.33,Summer tires,0,1,0,Moderate,14.0,0,0,75.0,-2.8
83.0,6.51,Summer tires,0,1,1,Moderate,13.3,0,0,71.0,-3.5
136.0,15.74,Summer tires,1,0,1,Moderate,11.5,0,0,49.0,-5.3
89.0,16.74,Summer tires,0,1,0,Moderate,13.5,0,0,59.0,-3.3
3.0,4.55,Summer tires,1,0,0,Moderate,10.2,0,0,30.0,-6.6
88.0,1.67,Summer tires,0,1,0,Moderate,12.2,0,0,62.0,-4.6
86.0,9.03,Summer tires,0,1,0,Moderate,10.5,0,0,69.0,-6.3
87.0,13.78,Summer tires,1,1,0,Moderate,12.6,0,0,80.0,-4.2
74.0,8.93,Summer tires,1,1,0,Moderate,12.7,0,0,58.0,-4.1
28.0,0.96,Summer tires,1,1,0,Moderate,11.7,0,0,51.0,-5.1
85.0,14.51,Summer tires,0,1,0,Moderate,12.2,0,0,75.0,-4.6
88.0,5.77,Summer tires,0,1,0,Moderate,11.3,0,0,73.0,-5.5
86.0,10.06,Summer tires,0,1,0,Moderate,11.7,0,0,68.0,-5.1
